,content
72,@Atmajaya_DW Mungkin pas ngaji di tpa sampe depan gerbang tpa nya nih jay. Kegoda cilor
73,@Atmajaya_DW Terbaik yakan😂
74,@Atmajaya_DW Mungkin mereka belum dibuka kan pintu hatinya jay..
75,"@Atmajaya_DW Sebagai kaum yg dituju saya hanya berserah, memang itu sudah menjadi resiko bila ikut denganNya.. Sudah tertuang di Kitab Suci..."
76,"@politikpanas buat hoax, konfersi pers, ketahuan, minta maaf :) hmmm"
77,Selalu terjadi setiap kali pulang ngampus bawa motor dari ujung limau manis sampai ujung lubuk begalung https://t.co/sOChBbKoMB
78,Baru sadar kalau pemeran robin ini mirip sekali sama Antoine Griezmann. Beda gaya rambut aja.
79,@lidtamazu @androar Wkwkwk
80,Bersyukuuurr bgt nemu buku asli teori semiotika peirce di perpus atmajaya. Terluuuv dah emg tuh perpus 😘😘😘
81,"@putut81010851 @Restu_bum @MetroTvBoxLies @Athar69046912 @jraharja76 @YBPoer @yunartowijaya @benz_haryadi @islamidahlan @brandal_baru @hanka_ismail @damnship @FrancisBacon_id @irwanka @LeniRumiati @SayaNo_01_ @eighball8 @aguspratono @MataRakyatJaka1 @ellykellyk @karzty @AGoeci @anggrekmatahari @one_ted @BudayriSaie @johnlieindah @hariadhi @layculai @Dew1eAH @Purwa_wicak @SunThree_BooKey @RajaPurwa @SandradiHalim @AtengHidayat5 @Djoyo59 @MadiunEs Lumayan mas @putut81010851 gue jalan kaki dri Diponegoro 76 krn ga da bis kota yg mw angkut penumpang, yg akhirnya nyangkut di Dukuh Atas dan nyaksiin keriuhan dri Atmajaya aksi-aksi di Semanggi...tpi ga pake kencing di celana sii..."
82,@Atmajaya_DW ya donggg 🥰
83,@Atmajaya_DW Yaudah cuddle ama guling!!!!!!!!!!!
84,"@Fadhlirama Sabar, mungkin di pilpres 5 tahun lagi bakal viral kok"
85,@arief_atmajaya wah sepertinya tidak jadi viral
86,Hujan lebat ditemani secangkir teh panas dan mie rebus sambil nonton serial favorit memang gak ada duanya.
87,"@Fadhlirama Minimal viral sehari dulu, lalu bertahap-tahap hingga menjadi selebtwit"
88,@arief_atmajaya wah saya belum siap untuk jadi femes nih
89,Mau nonton the defender tapi kayaknya harus ngikutin 3 serial lain dulu biar nyambung -___-
90,@Fadhlirama Bisa viral ini tweet nya
91,"Selamat kepada Tim Pemenang👏
#k3j #atmajaya #banggaatma #kamiatma #tournament #basket #estafet #dodgeball https://t.co/ExRyOq3X3n"
92,@CakKhum @Fahrihamzah @fadlizon @Ferdinand_Haean @jansen_jsp semoga nggak hoax lagi aminnn
93,"@Atmajaya_DW Selamat Ajay, tinggal kabar bahagyanya aja nih mengenai cemewew 🤘🤣"
94,"Terimakasih golnya Casemiro dan Modric, malam minggu ini benar2 begitu menyenangkan~"
95,Akhirnya madrid naik ke top 4 wkwk
96,Alhamdulillaaah
97,@d_syadiah @RachlanNashidik @prabowo @jokowi Ah kek org baru lo pak asli deh ngakak gue pembunuh? HAHAHAHA YANG BUNUH CINA DEPAN KAMPUS ATMAJAYA SIAPAAA YAAAAAAA~ soalnya waktu itu Prabowo lg gak di Indo tuh~ gausah GOBLOK2 natural gt lah coy! Yg ngelanggar HAM aja ada dikubu lo!😝
98,Semoga hasilnya memuaskan
99,Akhirnya lepas dari 2 hari yang hectic
100,@androar Ndak ajak2
101,"@amelianora4 @ulinyusron @ApriliaLin @RizmaWidiono begoknya kebangetan
1999 ada pembunuhan penembakan mahasiswa di atmajaya dan prabowo sudah di yordania.
itu namanya penjagal HAM sebenarnya si jendral bintang 4. https://t.co/88tJF1YUOg"
102,@Anggraini_4yu semua hastag di trending di pake wkwk..
