,Word,POS
792,jogja,NN
793,jogjakuliner,NN
794,minum,NN
795,yogyakarta,NN
796,authenticthaitea,NN
797,ugm,FW
798,uad,FW
799,uii,FW
800,umy,FW
801,uty,FW
802,uny,FW
803,uinsuka,VB
804,tugujogja,NN
805,indonesia,NN
806,jogjadrink,NN
807,minumanjogja,NN
808,jogjaistimewa,NN
809,universitas,NN
810,giwang,NN
811,kalor,FW
812,uad,FW
813,uad,NN
814,curang,NN
815,pmb,NN
816,calon,NN
817,mahasiswa,NN
818,dokter,NN
819,jogja,NN
820,tv,NNP
821,suasana,NN
822,ig,NN
823,gak,NN
824,kondusif,JJ
825,tukang,NN
826,stempel,FW
827,keliling,FW
828,stempel,FW
829,ulama,FW
830,uom,FW
831,uad,FW
832,uas,FW
833,dsb,FW
834,cap,FW
835,enak,FW
836,jidat,FW
837,mrk,FW
838,momi,NN
839,bagus,JJ
840,km,NN
841,cucu,NN
842,mbah,VB
843,ahmad,NN
844,dahlan,NN
845,kao,NN
846,pindah,MD
847,uad,VB
848,anak,NN
849,kampang,NN
850,woi,NN
851,buku,NN
852,uad,NN
853,penat,NN
854,caqiii,VB
855,emang,NN
856,isi,NN
857,tas,NN
858,naq,FW
859,uad,FW
860,gua,CD
861,naq,FW
862,uad,FW
863,ayo,NN
864,cari,VB
865,tau,NN
866,isi,NN
867,tas,NN
868,anak,NN
869,uad,NNP
870,program,NN
871,pascasarjana,NN
872,universitas,NN
873,ahmad,NN
874,dahlan,NN
875,bekerjasama,JJ
876,asmapada,IN
877,asosiasi,NN
878,mahasiswa,NN
879,pascasarjana,NN
880,selenggara,NN
881,turnamen,NN
882,futsal,NN
883,prodi,NN
884,pascasarjana,NN
885,uad,NN
886,rangka,NN
887,uad,NN
888,ya,NN
889,mba,NN
890,acara,NN
891,saiki,VB
892,udu,NN
893,iki,VB
894,mas,NN
895,seko,FW
896,ringroad,FW
897,uad,FW
898,krungu,FW
899,ana,FW
900,band,FW
901,an,FW
902,yah,NN
903,mene,FW
904,iseh,FW
905,ana,FW
906,band,FW
907,an,FW
908,ki,FW
909,ngendi,FW
910,suarane,FW
911,tekan,FW
912,masjid,FW
913,uad,FW
914,ringroad,FW
915,alhamdulillah,NN
916,langsung,RB
917,giat,VB
918,latih,VB
919,master,FW
920,of,FW
921,ceremony,FW
922,uad,FW
923,rabu,NN
924,kamis,NN
925,januari,NN
926,kampus,NN
927,utama,JJ
928,uad,VB
929,giat,NN
930,selenggara,NN
931,bidang,NN
932,humas,NN
933,protokol,VB
934,mbak,VB
935,uad,FW
936,ya,FW
937,univ,FW
938,ahmad,FW
939,family,FW
940,gathering,FW
941,uad,FW
942,tingkat,NN
943,sinergitas,NN
944,mahasiswa,NN
945,universitas,NN
946,ahmad,NN
947,dahlan,NN
948,uad,NN
949,yogyakarta,NN
950,kkn,NN
951,susu,NN
952,banjarnegara,NN
953,kkn,NN
954,periode,NN
955,langsung,RB
956,tanggal,NN
957,januari,NN
958,d,NN
959,februari,NN
960,drs,NN
961,purwadi,VB
962,kepala,NN
963,ratna,NN
964,yunita,PRP
965,setyani,VB
966,subarjo,NN
967,psi,NN
968,psi,NN
969,psikolog,NN
970,alumni,NN
971,magister,NN
972,psikologi,NN
973,profesi,NN
974,klinis,NN
975,uad,NN
976,angkat,NN
977,acara,NN
978,positif,JJ
979,kumpul,VB
980,repost,FW
981,hendro,FW
982,widodo,FW
983,hw,FW
984,get,FW
985,repost,FW
986,ajar,VB
987,sepanyang,NN
988,hayat,NN
989,bukti,NN
990,qomarudin,NN
991,tuk,NN
992,daftar,NN
993,pai,VB
994,uad,NN
995,usia,NN
996,halang,NN
997,tuk,NN
998,semangat,NN
999,ajar,VB
1000,smg,NN
1001,family,FW
1002,gathering,FW
1003,uad,FW
1004,tingkat,NN
1005,sinergitas,NN
1006,nak,NN
1007,ui,NN
1008,nak,NN
1009,ui,NN
1010,sih,FW
1011,nak,FW
1012,uad,FW
1013,nih,FW
1014,kampus,FW
1015,selamat,NN
1016,kkn,NN
1017,mas,NN
1018,mbak,VB
1019,selamat,NN
1020,abdi,NN
1021,kkn,NN
1022,moga,NN
1023,lancar,JJ
1024,urus,RB
1025,mas,VB
1026,mbak,VB
1027,best,FW
1028,moment,FW
1029,mpai,VB
1030,sosialisasi,NN
1031,studi,NN
1032,pimpin,NN
1033,daerah,NN
1034,muhammadiyah,NN
1035,pdm,NN
1036,kendal,NN
1037,salam,NN
1038,literasi,NN
1039,mpai,VB
1040,uad,NN
1041,kendal,NN
1042,indonesia,NNP
1043,alhamdulillah,NN
1044,silaturahmi,NN
1045,mpai,VB
1046,uad,NN
1047,tri,NN
1048,agama,NN
1049,kabupaten,NN
1050,tanggung,VB
1051,kabupaten,NN
1052,tanggung,VB
1053,milo,NN
1054,coklat,NN
1055,olah,NN
1056,lezat,NN
1057,nutrisi,NN
1058,bikin,JJ
1059,gaya,NN
1060,sport,NN
1061,kah,NN
1062,ngethaitea,NN
1063,naknyothaitea,NN
1064,thaitea,NN
1065,thaiteaindonesia,NN
1066,jogja,NN
1067,jogjakuliner,NN
1068,minum,NN
1069,yogyakarta,NN
1070,likeforlike,FW
1071,authenticthaitea,FW
1072,ugm,FW
1073,uad,FW
1074,uii,FW
1075,rp,NN
1076,thaitea,NN
1077,large,FW
1078,lurd,FW
1079,murah,JJ
1080,arti,NN
1081,kualitas,NN
1082,naknyothaitea,NN
1083,thaitea,NN
1084,thaiteaindonesia,NN
1085,jogja,NN
1086,jogjakuliner,NN
1087,minum,NN
1088,yogyakarta,NN
1089,likeforlike,FW
1090,authenticthaitea,FW
1091,ugm,FW
1092,uad,FW
1093,uii,FW
1094,umy,FW
1095,uty,FW
1096,uny,FW
1097,uinsuka,VB
1098,tugujogja,NN
1099,jogja,NN
1100,puannasss,FW
1101,asique,FW
1102,nya,FW
1103,minum,FW
1104,sweger,FW
1105,sweger,FW
1106,naknyothaitea,NN
1107,thaitea,NN
1108,thaiteaindonesia,NN
1109,jogja,NN
1110,jogjakuliner,NN
1111,minum,NN
1112,yogyakarta,NN
1113,likeforlike,FW
1114,authenticthaitea,FW
1115,ugm,FW
1116,uad,FW
1117,uii,FW
1118,umy,FW
1119,uty,FW
1120,uny,FW
1121,tugujogja,NN
1122,indonesia,NN
1123,segar,JJ
1124,jogjadrink,NN
1125,minumanjogja,NN
1126,jogjaistimewa,NN
1127,follow,FW
1128,bakingsoda,FW
1129,newsingle,FW
1130,raccs,FW
1131,concitystudios,FW
1132,ih,FW
1133,studios,FW
1134,concitydjs,FW
1135,musicvideo,FW
1136,studio,FW
1137,uad,FW
1138,hiphop,FW
1139,mixtape,FW
1140,concitytv,FW
1141,nc,FW
1142,ncmusic,FW
1143,newcarolina,FW
1144,concord,FW
1145,charlotte,FW
1146,kannapolis,FW
1147,uad,NN
1148,ngosak,NN
1149,asik,JJ
1150,ustaz,FW
1151,ahmad,FW
1152,dusuki,VB
1153,sumber,NN
1154,hukum,NN
1155,islam,NN
1156,sumber,NN
1157,manusia,NN
1158,alquran,NN
1159,hadis,NN
1160,ijmak,NN
1161,ulamak,NN
1162,kias,NN
